,Case,o%,Sample 1,s1%,iou s1,Recall 1,Precision 1,Sample 2,s2%,iou s2,Recall 2,Precision 2,Sample 3,s3%,iou s3,Recall 3,Precision 3
0,00000072_000.png,0.0,1,0.0020227432250976562,0.0,,0.0,5,0.0,,,,1,0.010334014892578125,0.0,,0.0
1,00000150_002.png,0.0026025772094726562,5,0.0009145736694335938,0.35141077317698793,0.35141077317698793,1.0,5,0.007190704345703125,0.3066547906858379,0.8831073653352877,0.3196286472148541,3,0.03766441345214844,0.06909910366131564,1.0,0.06909910366131564
2,00000181_061.png,0.05918407440185547,4,0.1652517318725586,0.3509488984052996,0.9851270565107397,0.3528182872708176,4,0.24955368041992188,0.23715969366697748,1.0,0.23715969366697748,3,0.052490234375,0.3818947815619911,0.5214553892263813,0.5879542151162791
3,00000211_019.png,0.13238811492919922,4,0.23992538452148438,0.5487905993247827,0.9964918346912166,0.5498529294856507,4,0.27594852447509766,0.47975656032596864,1.0,0.47975656032596864,2,0.1953277587890625,0.5789074668835376,0.907613511118795,0.615157018982892
4,00000211_041.png,0.11851882934570312,3,0.27240562438964844,0.3917469069574783,0.9284334867552866,0.40394485327582463,5,0.19905853271484375,0.2152854061668607,0.47467733110174126,0.2826214020160209,2,0.2113494873046875,0.43487928316601676,0.8435417940712607,0.4730344379467186
5,00000344_003.png,0.029219627380371094,2,0.2383880615234375,0.09248941993607189,0.7753516759685368,0.09503616462907252,3,0.1082000732421875,0.26110396373215705,0.9737262965501485,0.26295656465942746,1,0.02105426788330078,0.003961301135065133,0.006788733313750449,0.009421569959686552
6,00000468_033.png,0.0052642822265625,2,0.024700164794921875,0.13898354237656782,0.6945652173913044,0.14803088803088804,5,0.0024080276489257812,0.45742753623188404,0.45742753623188404,1.0,5,0.0060253143310546875,0.8078802687843616,0.9583333333333334,0.8372902817347262
7,00000808_002.png,0.020000457763671875,2,0.14277076721191406,0.1324628103560386,0.951935914552737,0.13335470856211507,3,0.011495590209960938,0.16745024567853228,0.22587259202746518,0.39298158287705326,3,0.036529541015625,0.3349849105896131,0.7092313560938394,0.3883145363408521
8,00000830_000.png,0.004662513732910156,3,0.02148151397705078,0.13859700128753583,0.6825526692575169,0.1481465038845727,3,0.008157730102539062,0.2953362883021777,0.626917570055226,0.35831190086509235,3,0.04286766052246094,0.10876529477196885,1.0,0.10876529477196885
9,00000974_002.png,0.024127960205078125,1,0.0,0.0,0.0,,4,0.0976095199584961,0.24718859610555832,1.0,0.24718859610555832,1,0.0,0.0,0.0,
10,00001075_024.png,0.052376747131347656,3,0.03210639953613281,0.47279256512992734,0.517798292092278,0.8447097962335888,2,0.025234222412109375,0.3390979546838234,0.375229875639555,0.7788359788359789,3,0.02941608428955078,0.38587079468700514,0.4348063582236303,0.7741935483870968
11,00001187_006.png,0.04997730255126953,2,0.1215829849243164,0.1263437998935604,0.38505867760709855,0.15828032222387814,1,0.0,0.0,0.0,,1,0.0,0.0,0.0,
12,00002350_001.png,0.012525558471679688,5,0.01241302490234375,0.7636743778242395,0.8621135982945028,0.8699293177627535,3,0.012506484985351562,0.5425481899388811,0.7029084818029542,0.7039804788775355,3,0.012646675109863281,0.538887593283582,0.7037460027409776,0.6970062589548299
13,00002578_000.png,0.11149215698242188,4,0.11367034912109375,0.6538593554081411,0.7984312450816027,0.7831314182159876,3,0.15419673919677734,0.5178153091800599,0.8129897013035892,0.5878332828242221,2,0.004520416259765625,0.021736939358306735,0.022137065042597596,0.5459915611814345
14,00002583_014.png,0.016777992248535156,4,0.024663925170898438,0.5603231597845602,0.8870005115671006,0.603394942386513,4,0.014892578125,0.3306487157911608,0.469050190416643,0.5284323770491803,3,0.12481689453125,0.1344208435207824,1.0,0.1344208435207824
15,00002597_000.png,0.0,5,0.0,,,,4,0.001926422119140625,0.0,,0.0,5,0.0,,,
16,00002706_004.png,0.023354530334472656,1,0.0,0.0,0.0,,1,0.022287368774414062,0.0,0.0,0.0,1,0.0,0.0,0.0,
17,00002711_000.png,0.20029449462890625,5,0.20078086853027344,0.38735291303931885,0.559083723764903,0.55772939287716,3,0.13522911071777344,0.4427863144815029,0.5140983887555708,0.761456438031566,3,0.09834766387939453,0.312982700354714,0.3554212851864549,0.7238496969696969
18,00002763_031.png,0.10550689697265625,4,0.13902950286865234,0.5906539041321084,0.8606370670330465,0.6531214201930267,4,0.10544872283935547,0.23932275179704965,0.3861089015836286,0.3863219108084398,2,0.17687225341796875,0.39941867334640924,0.7638929062115843,0.455673338221973
19,00002856_009.png,0.025809288024902344,2,0.15410900115966797,0.12702964263952113,0.785722203746813,0.13158822983384386,2,0.2425060272216797,0.07231634111481658,0.7011048294719728,0.07461677009351675,5,0.021413803100585938,0.5272183326650834,0.6316372907659905,0.7612897479290995
20,00002980_000.png,0.08956146240234375,5,0.050904273986816406,0.3860406903431013,0.43682383507964906,0.7685519980515952,5,0.12408924102783203,0.5677326801959413,0.8638832098134424,0.623508073503078,5,0.1668224334716797,0.45329621320647623,0.8928890876565295,0.4793627019425357
21,00003072_028.png,0.14169025421142578,2,0.13564777374267578,0.2291520495025233,0.36491152497425505,0.38116664440335496,2,0.08951187133789062,0.37534251238150346,0.4453164437683832,0.704900916258257,3,0.12273788452148438,0.42678584293021293,0.5582373647971031,0.6444366744366744
22,00003333_002.png,0.0686178207397461,3,0.1048727035522461,0.5134483074184075,0.8577643118233242,0.561232005965426,5,0.08827590942382812,0.7102062455819369,0.9495212019290906,0.738073116978523,5,0.11046409606933594,0.5799167052290606,0.9579574988533863,0.5950617283950618
23,00003391_001.png,0.03301048278808594,3,0.03730201721191406,0.2817579666556562,0.4682209510602646,0.4143529171140768,3,0.142669677734375,0.08170287727539637,0.40197607904316174,0.09300802139037433,1,0.07698631286621094,0.02533558538536759,0.08233662679840527,0.03530461065827614
24,00003400_003.png,0.06331443786621094,3,0.05814838409423828,0.27952862697033326,0.4190992619370387,0.45633313105800927,2,0.0070953369140625,0.07592538618478578,0.07847567404729627,0.7002688172043011,2,0.05285072326660156,0.31359121741849905,0.43800271125169454,0.5247212097152549
25,00003787_003.png,0.019309043884277344,3,0.046723365783691406,0.3720128403281417,0.9272484812564824,0.3831975996570939,5,0.026636123657226562,0.6208659960300105,0.9114436706672594,0.6607232366630863,5,0.01934051513671875,0.7044622954956471,0.8272830542796463,0.8259368836291914
26,00003894_005.png,0.10309982299804688,5,0.1413412094116211,0.6570019264833276,0.9400691900691901,0.6857233464006424,5,0.18802642822265625,0.5483262325015216,1.0,0.5483262325015216,5,0.122528076171875,0.7490574128014431,0.9372294372294372,0.788620797011208
27,00003973_008.png,0.07118606567382812,1,0.16742515563964844,0.2228000039098009,0.6107389743314935,0.2596748652866859,3,0.025053977966308594,0.3138605353608999,0.3229596484647125,0.9176278025198888,3,0.041919708251953125,0.36595029138737245,0.4256738652805316,0.7228592228592229
28,00004808_090.png,0.18799591064453125,4,0.2978019714355469,0.5925642236110286,0.9614920254859787,0.606969013795842,5,0.42137718200683594,0.4461463948977698,1.0,0.4461463948977698,3,0.10066986083984375,0.35573421718585535,0.40290065338257375,0.7523967411898447
